Country,Timestamp,Hydro Water Reservoir,Nuclear,Other,Wind Onshore
SE,2020-06-17,205764.0,94452.0,12134.0,20055.0
SE,2020-06-18,203135.0,94397.0,14065.0,14573.0
SE,2020-06-19,154083.0,94464.0,13710.0,37483.0
SE,2020-06-20,153477.0,95039.0,12657.0,37090.0
SE,2020-06-21,159324.0,86130.0,12305.0,33806.0
SE,2020-06-22,191839.0,76180.0,12091.0,25507.0
SE,2020-06-23,206858.0,74568.0,14462.0,19658.0
SE,2020-06-24,203148.0,74549.0,11736.0,18955.0
SE,2020-06-25,184930.0,77297.0,14878.0,19494.0
SE,2020-06-26,170307.0,77125.0,15390.0,25435.0
SE,2020-06-27,149067.0,87814.0,13847.0,33357.0
SE,2020-06-28,148893.0,113307.0,12794.0,38619.0
SE,2020-06-29,180251.0,123147.0,12704.0,43647.0
SE,2020-06-30,166574.0,130243.0,12232.0,68746.0
SE,2020-07-01,166505.0,134182.0,13027.0,79973.0
SE,2020-07-02,177178.0,138640.0,12632.0,48148.0
SE,2020-07-03,157815.0,139876.0,12923.0,52351.0
SE,2020-07-04,126619.0,134277.0,10304.0,52379.0
SE,2020-07-05,105473.0,120911.0,9886.0,78414.0
SE,2020-07-06,116618.0,120346.0,10900.0,117947.0
SE,2020-07-07,164367.0,126501.0,9963.0,74701.0
SE,2020-07-08,194265.0,129767.0,10197.0,44606.0
SE,2020-07-09,189635.0,129832.0,10948.0,33865.0
SE,2020-07-10,185916.0,129385.0,10269.0,20968.0
SE,2020-07-11,126098.0,128422.0,10482.0,33594.0
SE,2020-07-12,132158.0,129381.0,10706.0,44512.0
SE,2020-07-13,173105.0,129339.0,11288.0,36803.0
SE,2020-07-14,185463.0,129172.0,10708.0,18498.0
SE,2020-07-15,184105.0,129138.0,10412.0,14808.0
SE,2020-07-16,185326.0,128991.0,11428.0,13208.0
SE,2020-07-17,151861.0,128885.0,11464.0,43057.0
SE,2020-07-18,124930.0,129265.0,11218.0,43851.0
SE,2020-07-19,111017.0,129057.0,10846.0,50642.0
SE,2020-07-20,151426.0,128604.0,9747.0,35954.0
SE,2020-07-21,126086.0,119006.0,10668.0,80334.0
SE,2020-07-22,115127.0,105855.0,12169.0,101303.0
SE,2020-07-23,101847.0,102236.0,11204.0,115298.0
SE,2020-07-24,149469.0,94058.0,11649.0,63794.0
SE,2020-07-25,162915.0,88355.0,12534.0,33758.0
SE,2020-07-26,147256.0,88129.0,11154.0,52974.0
SE,2020-07-27,169751.0,89237.0,11988.0,51365.0
SE,2020-07-28,165325.0,90304.0,11236.0,56186.0
SE,2020-07-29,148621.0,90427.0,11277.0,71389.0
SE,2020-07-30,146612.0,83600.0,12065.0,105868.0
SE,2020-07-31,201454.0,100814.0,12968.0,37068.0
SE,2020-08-01,197343.0,101759.0,13608.0,12668.0
SE,2020-08-02,186262.0,89825.0,12845.0,36602.0
SE,2020-08-03,193892.0,90603.0,12611.0,46992.0
SE,2020-08-04,199831.0,90719.0,11484.0,31080.0
SE,2020-08-05,188520.0,92846.0,11980.0,53320.0
SE,2020-08-06,205046.0,92920.0,12253.0,29813.0
SE,2020-08-07,203474.0,92466.0,12013.0,27850.0
SE,2020-08-08,187072.0,92009.0,12314.0,34771.0
SE,2020-08-09,162519.0,91774.0,11874.0,54561.0
SE,2020-08-10,205622.0,91207.0,11970.0,27326.0
SE,2020-08-11,211678.0,90694.0,12260.0,19838.0
SE,2020-08-12,212289.0,92436.0,11899.0,19588.0
SE,2020-08-13,212311.0,89761.0,12624.0,14915.0
SE,2020-08-14,206684.0,82569.0,11566.0,23240.0
SE,2020-08-15,161463.0,84319.0,11020.0,44417.0
SE,2020-08-16,162249.0,62489.0,10938.0,46569.0
SE,2020-08-17,209222.0,62339.0,8954.0,22263.0
SE,2020-08-18,223703.0,62028.0,9157.0,14217.0
SE,2020-08-19,222803.0,57278.0,8947.0,17523.0
SE,2020-08-20,217610.0,60979.0,8877.0,22788.0
SE,2020-08-21,181771.0,70991.0,8263.0,61341.0
SE,2020-08-22,110305.0,80724.0,8385.0,109592.0
SE,2020-08-23,141824.0,69938.0,8456.0,86057.0
SE,2020-08-24,200873.0,57484.0,9986.0,56298.0
SE,2020-08-25,201463.0,67182.0,10148.0,43856.0
SE,2020-08-26,188215.0,74818.0,9811.0,34958.0
SE,2020-08-27,198149.0,85403.0,11615.0,29789.0
SE,2020-08-28,220160.0,91030.0,10650.0,17318.0
SE,2020-08-29,188045.0,92790.0,12181.0,31774.0
SE,2020-08-30,192285.0,92748.0,12593.0,22781.0
SE,2020-08-31,192523.0,92891.0,12887.0,54650.0
SE,2020-09-01,209598.0,92956.0,11731.0,27365.0
SE,2020-09-02,194396.0,92994.0,12759.0,52462.0
SE,2020-09-03,196400.0,92994.0,12975.0,36239.0
SE,2020-09-04,183166.0,93785.0,13606.0,58407.0
SE,2020-09-05,146691.0,91409.0,13569.0,73048.0
SE,2020-09-06,157827.0,103479.0,13780.0,51232.0
SE,2020-09-07,192107.0,105873.0,13703.0,56644.0
SE,2020-09-08,141595.0,106875.0,14209.0,107756.0
SE,2020-09-09,163111.0,99012.0,14408.0,88588.0
