,Hydro Water Reservoir,Nuclear,Other,Wind Onshore
2018-11-16,189648.0,184587.0,26214.0,70074.0
2018-11-17,158566.0,184613.0,27979.0,60861.0
2018-11-18,172286.0,184743.0,30561.0,43755.0
2018-11-19,205400.0,184534.0,33817.0,46845.0
2018-11-20,206078.0,184657.0,34286.0,54678.0
2018-11-21,211817.0,184845.0,34788.0,44787.0
2018-11-22,232709.0,184999.0,37205.0,30313.0
2018-11-23,219365.0,184752.0,36861.0,49168.0
2018-11-24,202293.0,184671.0,38106.0,61277.0
2018-11-25,195506.0,184631.0,38839.0,53535.0
2018-11-26,228863.0,184559.0,39895.0,52236.0
2018-11-27,238518.0,187102.0,40141.0,34335.0
2018-11-28,218032.0,188760.0,39108.0,68166.0
2018-11-29,187334.0,196170.0,38646.0,132516.0
2018-11-30,184568.0,193219.0,37522.0,120469.0
2018-12-01,166713.0,194188.0,37129.0,91752.0
2018-12-02,158608.0,186714.0,35316.0,65667.0
2018-12-03,196807.0,187900.0,35671.0,66154.0
2018-12-04,193282.0,204004.0,36736.0,92980.0
2018-12-05,210793.0,204608.0,40578.0,86918.0
2018-12-06,208579.0,207292.0,42527.0,49048.0
2018-12-07,203918.0,207438.0,38304.0,30157.0
2018-12-08,157286.0,207431.0,34771.0,66380.0
2018-12-09,155323.0,207442.0,36264.0,46313.0
2018-12-10,191036.0,207352.0,38776.0,61654.0
2018-12-11,209316.0,207003.0,40565.0,55969.0
2018-12-12,238371.0,206744.0,43490.0,21107.0
2018-12-13,237719.0,207026.0,45200.0,27645.0
2018-12-14,243809.0,207147.0,45418.0,20194.0
2018-12-15,201916.0,207301.0,43518.0,32078.0
2018-12-16,186963.0,207428.0,43745.0,50438.0
2018-12-17,245587.0,207567.0,44891.0,11360.0
2018-12-18,245604.0,207427.0,43771.0,14444.0
2018-12-19,233438.0,207569.0,42931.0,44075.0
2018-12-20,236018.0,207604.0,42502.0,48674.0
2018-12-21,224715.0,205216.0,43383.0,40944.0
2018-12-22,215942.0,196794.0,43859.0,23598.0
2018-12-23,218677.0,196775.0,46356.0,14602.0
2018-12-24,204343.0,196836.0,46493.0,51436.0
2018-12-25,119076.0,196909.0,41612.0,104386.0
2018-12-26,164917.0,197979.0,41095.0,70665.0
2018-12-27,215328.0,187547.0,40013.0,62775.0
2018-12-28,219637.0,185933.0,42941.0,49397.0
2018-12-29,175281.0,191348.0,40584.0,74343.0
2018-12-30,188875.0,196938.0,43805.0,45344.0
