,Fossil Gas,Hydro Water Reservoir,Marine,Nuclear,Other,Solar,Wind Onshore
2021-06-12,0.0,0.0,0.0,0.0,0.0,0.0,33636.0
2021-06-13,0.0,0.0,0.0,0.0,0.0,0.0,20605.0
2021-06-14,0.0,0.0,0.0,0.0,0.0,0.0,45663.0
2021-06-15,0.0,0.0,0.0,0.0,0.0,0.0,34273.0
2021-06-16,0.0,0.0,0.0,0.0,0.0,0.0,14855.0
2021-06-17,0.0,0.0,0.0,0.0,0.0,0.0,16463.0
2021-06-18,0.0,0.0,0.0,0.0,0.0,0.0,23633.0
2021-06-19,0.0,0.0,0.0,0.0,0.0,0.0,18840.0
2021-06-20,0.0,0.0,0.0,0.0,0.0,0.0,13418.0
2021-06-21,0.0,0.0,0.0,0.0,0.0,0.0,16904.0
2021-06-22,0.0,0.0,0.0,0.0,0.0,0.0,10145.0
2021-06-23,0.0,0.0,0.0,0.0,0.0,0.0,3815.0
2021-06-24,0.0,0.0,0.0,0.0,0.0,0.0,2864.0
2021-06-25,0.0,0.0,0.0,0.0,0.0,0.0,3763.0
2021-06-26,0.0,0.0,0.0,0.0,0.0,0.0,5330.0
2021-06-27,0.0,0.0,0.0,0.0,0.0,0.0,5053.0
2021-06-28,0.0,0.0,0.0,0.0,0.0,0.0,4684.0
2021-06-29,0.0,0.0,0.0,0.0,0.0,0.0,5721.0
2021-06-30,0.0,0.0,0.0,0.0,0.0,0.0,20871.0
2021-07-01,0.0,0.0,0.0,0.0,0.0,0.0,35291.0
2021-07-02,0.0,0.0,0.0,0.0,0.0,0.0,16312.0
2021-07-03,0.0,0.0,0.0,0.0,0.0,0.0,7306.0
2021-07-04,0.0,0.0,0.0,0.0,0.0,0.0,7716.0
2021-07-05,0.0,0.0,0.0,0.0,0.0,0.0,9940.0
2021-07-06,0.0,0.0,0.0,0.0,0.0,0.0,7247.0
2021-07-07,0.0,0.0,0.0,0.0,0.0,0.0,14246.0
2021-07-08,0.0,0.0,0.0,0.0,0.0,0.0,9032.0
2021-07-09,0.0,0.0,0.0,0.0,0.0,0.0,4773.0
2021-07-10,0.0,0.0,0.0,0.0,0.0,0.0,20995.0
2021-07-11,0.0,0.0,0.0,0.0,0.0,0.0,24509.0
2021-07-12,0.0,0.0,0.0,0.0,0.0,0.0,3875.0
2021-07-13,0.0,0.0,0.0,0.0,0.0,0.0,8676.0
2021-07-14,0.0,0.0,0.0,0.0,0.0,0.0,7643.0
2021-07-15,0.0,0.0,0.0,0.0,0.0,0.0,4188.0
2021-07-16,0.0,0.0,0.0,0.0,0.0,0.0,10193.0
2021-07-17,0.0,0.0,0.0,0.0,0.0,0.0,12149.0
2021-07-18,0.0,0.0,0.0,0.0,0.0,0.0,22871.0
2021-07-19,0.0,0.0,0.0,0.0,0.0,0.0,10778.0
2021-07-20,0.0,0.0,0.0,0.0,0.0,0.0,14377.0
2021-07-21,0.0,0.0,0.0,0.0,0.0,0.0,7831.0
2021-07-22,0.0,0.0,0.0,0.0,0.0,0.0,16661.0
2021-07-23,0.0,0.0,0.0,0.0,0.0,0.0,7441.0
2021-07-24,0.0,0.0,0.0,0.0,0.0,0.0,3659.0
2021-07-25,0.0,0.0,0.0,0.0,0.0,0.0,8104.0
2021-07-26,0.0,0.0,0.0,0.0,0.0,0.0,14552.0
2021-07-27,0.0,0.0,0.0,0.0,0.0,0.0,14103.0
2021-07-28,0.0,0.0,0.0,0.0,0.0,0.0,7730.0
2021-07-29,0.0,0.0,0.0,0.0,0.0,0.0,18205.0
2021-07-30,0.0,0.0,0.0,0.0,0.0,0.0,26365.0
2021-07-31,0.0,0.0,0.0,0.0,0.0,0.0,18573.0
2021-08-01,0.0,0.0,0.0,0.0,0.0,0.0,20920.0
2021-08-02,0.0,0.0,0.0,0.0,0.0,0.0,12849.0
2021-08-03,0.0,0.0,0.0,0.0,0.0,0.0,5953.0
2021-08-04,0.0,0.0,0.0,0.0,0.0,0.0,2122.0
2021-08-05,0.0,0.0,0.0,0.0,0.0,0.0,4841.0
2021-08-06,0.0,0.0,0.0,0.0,0.0,0.0,14778.0
2021-08-07,0.0,0.0,0.0,0.0,0.0,0.0,17132.0
2021-08-08,0.0,0.0,0.0,0.0,0.0,0.0,6981.0
2021-08-09,0.0,0.0,0.0,0.0,0.0,0.0,13252.0
2021-08-10,0.0,0.0,0.0,0.0,0.0,0.0,7163.0
2021-08-11,0.0,0.0,0.0,0.0,0.0,0.0,4306.0
2021-08-12,0.0,0.0,0.0,0.0,0.0,0.0,9356.0
2021-08-13,0.0,0.0,0.0,0.0,0.0,0.0,14538.0
2021-08-14,0.0,0.0,0.0,0.0,0.0,0.0,43824.0
2021-08-15,0.0,0.0,0.0,0.0,0.0,0.0,36809.0
2021-08-16,0.0,0.0,0.0,0.0,0.0,0.0,7793.0
2021-08-17,0.0,0.0,0.0,0.0,0.0,0.0,20809.0
2021-08-18,0.0,0.0,0.0,0.0,0.0,0.0,35718.0
2021-08-19,0.0,0.0,0.0,0.0,0.0,0.0,25457.0
2021-08-20,0.0,0.0,0.0,0.0,0.0,0.0,14106.0
2021-08-21,0.0,0.0,0.0,0.0,0.0,0.0,11042.0
2021-08-22,0.0,0.0,0.0,0.0,0.0,0.0,5640.0
2021-08-23,0.0,0.0,0.0,0.0,0.0,0.0,4877.0
2021-08-24,0.0,0.0,0.0,0.0,0.0,0.0,11088.0
2021-08-25,0.0,0.0,0.0,0.0,0.0,0.0,43369.0
2021-08-26,0.0,0.0,0.0,0.0,0.0,0.0,52871.0
2021-08-27,0.0,0.0,0.0,0.0,0.0,0.0,46313.0
2021-08-28,0.0,0.0,0.0,0.0,0.0,0.0,33696.0
2021-08-29,0.0,0.0,0.0,0.0,0.0,0.0,17454.0
2021-08-30,0.0,0.0,0.0,0.0,0.0,0.0,10198.0
2021-08-31,0.0,0.0,0.0,0.0,0.0,0.0,13154.0
2021-09-01,0.0,0.0,0.0,0.0,0.0,0.0,22010.0
2021-09-02,0.0,0.0,0.0,0.0,0.0,0.0,23771.0
2021-09-03,0.0,0.0,0.0,0.0,0.0,0.0,21549.0
2021-09-04,0.0,0.0,0.0,0.0,0.0,0.0,8963.0
2021-09-05,0.0,0.0,0.0,0.0,0.0,0.0,11256.0
2021-09-06,0.0,0.0,0.0,0.0,0.0,0.0,16786.0
2021-09-07,0.0,0.0,0.0,0.0,0.0,0.0,25062.0
2021-09-08,0.0,0.0,0.0,0.0,0.0,0.0,30897.0
2021-09-09,0.0,0.0,0.0,0.0,0.0,0.0,15782.0
2021-09-10,0.0,0.0,0.0,0.0,0.0,0.0,5126.0
2021-09-11,0.0,0.0,0.0,0.0,0.0,0.0,4012.0
2021-09-12,0.0,0.0,0.0,0.0,0.0,0.0,19725.0
2021-09-13,0.0,0.0,0.0,0.0,0.0,0.0,15383.0
2021-09-14,0.0,0.0,0.0,0.0,0.0,0.0,2754.0
2021-09-15,0.0,0.0,0.0,0.0,0.0,0.0,11248.0
2021-09-16,0.0,0.0,0.0,0.0,0.0,0.0,35394.0
2021-09-17,0.0,0.0,0.0,0.0,0.0,0.0,33891.0
2021-09-18,0.0,0.0,0.0,0.0,0.0,0.0,14362.0
2021-09-19,0.0,0.0,0.0,0.0,0.0,0.0,11540.0
2021-09-20,0.0,0.0,0.0,0.0,0.0,0.0,6081.0
2021-09-21,0.0,0.0,0.0,0.0,0.0,0.0,9794.0
2021-09-22,0.0,0.0,0.0,0.0,0.0,0.0,20654.0
2021-09-23,0.0,0.0,0.0,0.0,0.0,0.0,42035.0
2021-09-24,0.0,0.0,0.0,0.0,0.0,0.0,37070.0
2021-09-25,0.0,0.0,0.0,0.0,0.0,0.0,27469.0
2021-09-26,0.0,0.0,0.0,0.0,0.0,0.0,9074.0
2021-09-27,0.0,0.0,0.0,0.0,0.0,0.0,30825.0
2021-09-28,0.0,0.0,0.0,0.0,0.0,0.0,25822.0
2021-09-29,0.0,0.0,0.0,0.0,0.0,0.0,27782.0
2021-09-30,0.0,0.0,0.0,0.0,0.0,0.0,35316.0
2021-10-01,0.0,0.0,0.0,0.0,0.0,0.0,50500.0
2021-10-02,0.0,0.0,0.0,0.0,0.0,0.0,39211.0
2021-10-03,0.0,0.0,0.0,0.0,0.0,0.0,54558.0
2021-10-04,0.0,0.0,0.0,0.0,0.0,0.0,26035.0
2021-10-05,0.0,0.0,0.0,0.0,0.0,0.0,19051.0
2021-10-06,0.0,0.0,0.0,0.0,0.0,0.0,25012.0
2021-10-07,0.0,0.0,0.0,0.0,0.0,0.0,19390.0
2021-10-08,0.0,0.0,0.0,0.0,0.0,0.0,20262.0
2021-10-09,0.0,0.0,0.0,0.0,0.0,0.0,18762.0
2021-10-10,0.0,0.0,0.0,0.0,0.0,0.0,39829.0
2021-10-11,0.0,0.0,0.0,0.0,0.0,0.0,23168.0
2021-10-12,0.0,0.0,0.0,0.0,0.0,0.0,23672.0
2021-10-13,0.0,0.0,0.0,0.0,0.0,0.0,14035.0
2021-10-14,0.0,0.0,0.0,0.0,0.0,0.0,37172.0
2021-10-15,0.0,0.0,0.0,0.0,0.0,0.0,45097.0
2021-10-16,0.0,0.0,0.0,0.0,0.0,0.0,43278.0
2021-10-17,0.0,0.0,0.0,0.0,0.0,0.0,18741.0
2021-10-18,0.0,0.0,0.0,0.0,0.0,0.0,13001.0
2021-10-19,0.0,0.0,0.0,0.0,0.0,0.0,18883.0
2021-10-20,0.0,0.0,0.0,0.0,0.0,0.0,51033.0
2021-10-21,0.0,0.0,0.0,0.0,0.0,0.0,41610.0
2021-10-22,0.0,0.0,0.0,0.0,0.0,0.0,43318.0
2021-10-23,0.0,0.0,0.0,0.0,0.0,0.0,22784.0
2021-10-24,0.0,0.0,0.0,0.0,0.0,0.0,38643.0
2021-10-25,0.0,0.0,0.0,0.0,0.0,0.0,33105.0
2021-10-26,0.0,0.0,0.0,0.0,0.0,0.0,32393.0
2021-10-27,0.0,0.0,0.0,0.0,0.0,0.0,44617.0
2021-10-28,0.0,0.0,0.0,0.0,0.0,0.0,48521.0
2021-10-29,0.0,0.0,0.0,0.0,0.0,0.0,33276.0
2021-10-30,0.0,0.0,0.0,0.0,0.0,0.0,23390.0
2021-10-31,0.0,0.0,0.0,0.0,0.0,0.0,25329.0
2021-11-01,0.0,0.0,0.0,0.0,0.0,0.0,31172.0
2021-11-02,0.0,0.0,0.0,0.0,0.0,0.0,9808.0
2021-11-03,0.0,0.0,0.0,0.0,0.0,0.0,9593.0
2021-11-04,0.0,0.0,0.0,0.0,0.0,0.0,6643.0
2021-11-05,0.0,0.0,0.0,0.0,0.0,0.0,20744.0
2021-11-06,0.0,0.0,0.0,0.0,0.0,0.0,30871.0
2021-11-07,0.0,0.0,0.0,0.0,0.0,0.0,30201.0
2021-11-08,0.0,0.0,0.0,0.0,0.0,0.0,12798.0
2021-11-09,0.0,0.0,0.0,0.0,0.0,0.0,46137.0
2021-11-10,0.0,0.0,0.0,0.0,0.0,0.0,46723.0
2021-11-11,0.0,0.0,0.0,0.0,0.0,0.0,47268.0
2021-11-12,0.0,0.0,0.0,0.0,0.0,0.0,16510.0
2021-11-13,0.0,0.0,0.0,0.0,0.0,0.0,13382.0
2021-11-14,0.0,0.0,0.0,0.0,0.0,0.0,8381.0
2021-11-15,0.0,0.0,0.0,0.0,0.0,0.0,22158.0
2021-11-16,0.0,0.0,0.0,0.0,0.0,0.0,24825.0
2021-11-17,0.0,0.0,0.0,0.0,0.0,0.0,33190.0
2021-11-18,0.0,0.0,0.0,0.0,0.0,0.0,30916.0
2021-11-19,0.0,0.0,0.0,0.0,0.0,0.0,52548.0
2021-11-20,0.0,0.0,0.0,0.0,0.0,0.0,33905.0
2021-11-21,0.0,0.0,0.0,0.0,0.0,0.0,24411.0
2021-11-22,0.0,0.0,0.0,0.0,0.0,0.0,30851.0
2021-11-23,0.0,0.0,0.0,0.0,0.0,0.0,29968.0
2021-11-24,0.0,0.0,0.0,0.0,0.0,0.0,40445.0
2021-11-25,0.0,0.0,0.0,0.0,0.0,0.0,26007.0
2021-11-26,0.0,0.0,0.0,0.0,0.0,0.0,9899.0
2021-11-27,0.0,0.0,0.0,0.0,0.0,0.0,28472.0
2021-11-28,0.0,0.0,0.0,0.0,0.0,0.0,29485.0
2021-11-29,0.0,0.0,0.0,0.0,0.0,0.0,11446.0
2021-11-30,0.0,0.0,0.0,0.0,0.0,0.0,13005.0
2021-12-01,0.0,0.0,0.0,0.0,0.0,0.0,15703.0
2021-12-02,0.0,0.0,0.0,0.0,0.0,0.0,24315.0
2021-12-03,0.0,0.0,0.0,0.0,0.0,0.0,9579.0
2021-12-04,0.0,0.0,0.0,0.0,0.0,0.0,28410.0
2021-12-05,0.0,0.0,0.0,0.0,0.0,0.0,27813.0
2021-12-06,0.0,0.0,0.0,0.0,0.0,0.0,9209.0
2021-12-07,0.0,0.0,0.0,0.0,0.0,0.0,14715.0
2021-12-08,0.0,0.0,0.0,0.0,0.0,0.0,31777.0
2021-12-09,0.0,0.0,0.0,0.0,0.0,0.0,26060.0
2021-12-10,0.0,0.0,0.0,0.0,0.0,0.0,15312.0
2021-12-11,0.0,0.0,0.0,0.0,0.0,0.0,4188.0
2021-12-12,0.0,0.0,0.0,0.0,0.0,0.0,5259.0
2021-12-13,0.0,0.0,0.0,0.0,0.0,0.0,21348.0
2021-12-14,0.0,0.0,0.0,0.0,0.0,0.0,32172.0
2021-12-15,0.0,25935.0,0.0,167301.0,23709.0,8.0,56256.0
2021-12-16,0.0,27892.0,0.0,167352.0,23565.0,60.0,54248.0
2021-12-17,0.0,31818.0,0.0,153977.0,24177.0,53.0,29954.0
2021-12-18,0.0,24491.0,0.0,138882.0,23629.0,36.0,39733.0
2021-12-19,0.0,21651.0,0.0,143166.0,22700.0,62.0,54012.0
2021-12-20,0.0,34186.0,0.0,157112.0,29404.0,40.0,17886.0
2021-12-21,1440.0,35009.0,0.0,166919.0,32093.0,26.0,6264.0
2021-12-22,900.0,36445.0,0.0,167363.0,30339.0,316.0,12909.0
2021-12-23,0.0,35760.0,0.0,167435.0,27852.0,14.0,15539.0
2021-12-24,0.0,31413.0,0.0,167482.0,28013.0,65.0,38222.0
2021-12-25,0.0,29961.0,0.0,167595.0,29798.0,57.0,40114.0
2021-12-26,0.0,28020.0,0.0,167718.0,29898.0,57.0,19624.0
2021-12-27,0.0,32170.0,0.0,166549.0,29688.0,34.0,16101.0
2021-12-28,0.0,30054.0,0.0,161364.0,28835.0,11.0,23549.0
2021-12-29,20.0,32545.0,0.0,161144.0,29602.0,8.0,3003.0
2021-12-30,0.0,24995.0,0.0,140259.0,26398.0,9.0,38797.0
