,Biomass,Fossil Gas,Fossil Hard coal,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Hydro Water Reservoir,Nuclear,Solar,Waste,Wind Onshore
,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated
2017-02-04,7063.0,96065.0,14747.0,0.0,6984.0,1476.0,36855.0,120082.0,0.0,21680.0,0.0,1236218.0,11265.0,5966.0,111222.0
2017-02-05,6819.0,99924.0,10476.0,0.0,6966.0,3937.0,46338.0,114871.0,0.0,20133.0,0.0,1239034.0,8266.0,6059.0,87386.0
2017-02-06,6793.0,173483.0,29450.0,0.0,16793.0,17368.0,16303.0,129000.0,0.0,42681.0,0.0,1246664.0,14053.0,5953.0,64521.0
2017-02-07,7097.0,186645.0,23990.0,0.0,15817.0,14512.0,20971.0,129852.0,0.0,29961.0,0.0,1262636.0,11369.0,5618.0,57909.0
2017-02-08,7056.0,186812.0,24356.0,0.0,17638.0,21762.0,16268.0,132903.0,0.0,43595.0,0.0,1254380.0,12491.0,5727.0,51819.0
2017-02-09,7126.0,194463.0,20234.0,0.0,19316.0,24297.0,14599.0,131035.0,0.0,45030.0,0.0,1272178.0,15712.0,6045.0,38595.0
2017-02-10,7163.0,199043.0,36606.0,0.0,20473.0,23219.0,11666.0,133120.0,0.0,59201.0,0.0,1260080.0,15755.0,6265.0,40915.0
2017-02-11,7247.0,191266.0,36767.0,0.0,7069.0,10293.0,18603.0,127839.0,0.0,48066.0,0.0,1217430.0,11751.0,6215.0,33114.0
2017-02-12,7252.0,157290.0,35063.0,0.0,7031.0,1161.0,37661.0,111990.0,0.0,26977.0,0.0,1167217.0,11015.0,5842.0,98783.0
2017-02-13,7200.0,184227.0,32514.0,0.0,7023.0,18661.0,18410.0,120829.0,0.0,37625.0,0.0,1173179.0,11451.0,5776.0,153991.0
2017-02-14,7194.0,200944.0,48558.0,0.0,7101.0,18298.0,18015.0,123126.0,0.0,43876.0,0.0,1179767.0,14798.0,5839.0,89756.0
2017-02-15,6888.0,198245.0,40767.0,0.0,7087.0,12296.0,14952.0,113493.0,0.0,34046.0,0.0,1181318.0,18826.0,6033.0,55392.0
2017-02-16,6953.0,201384.0,43913.0,0.0,7102.0,18399.0,14731.0,109094.0,0.0,37534.0,0.0,1208429.0,18836.0,6432.0,15824.0
2017-02-17,6858.0,200462.0,48653.0,0.0,7052.0,22245.0,9319.0,111114.0,0.0,41228.0,0.0,1215791.0,22304.0,6467.0,17453.0
2017-02-18,7247.0,194280.0,46964.0,0.0,7082.0,8589.0,23564.0,94207.0,0.0,24813.0,0.0,1119455.0,23835.0,6494.0,24407.0
2017-02-19,7268.0,193970.0,44891.0,0.0,7083.0,1721.0,35161.0,82231.0,0.0,16291.0,0.0,1133084.0,22514.0,6464.0,28646.0
2017-02-20,6875.0,196876.0,42886.0,0.0,7103.0,17987.0,14890.0,96030.0,0.0,29341.0,0.0,1150030.0,17232.0,6467.0,74937.0
2017-02-21,7064.0,191552.0,40040.0,0.0,9615.0,14897.0,15568.0,94360.0,0.0,25882.0,0.0,1146685.0,17006.0,6366.0,98978.0
2017-02-22,7237.0,182524.0,42360.0,0.0,7116.0,18094.0,14231.0,94318.0,0.0,25986.0,0.0,1146816.0,18629.0,6240.0,139930.0
2017-02-23,7199.0,184966.0,32562.0,0.0,8590.0,13799.0,12652.0,89526.0,0.0,26269.0,0.0,1147249.0,16602.0,6259.0,164551.0
2017-02-24,7309.0,187107.0,35633.0,0.0,7116.0,22036.0,13127.0,104297.0,0.0,43500.0,0.0,1153315.0,18806.0,6203.0,67481.0
2017-02-25,7483.0,185904.0,34142.0,0.0,7136.0,10052.0,23569.0,94776.0,0.0,29116.0,0.0,1132667.0,27121.0,6026.0,60394.0
2017-02-26,7455.0,151595.0,16536.0,0.0,7125.0,3391.0,38542.0,80684.0,0.0,23207.0,0.0,1141982.0,18935.0,6098.0,94790.0
