Country,Timestamp,Wind Onshore
SE,2019-11-30,21143.0
SE,2019-12-01,22831.0
SE,2019-12-02,21891.0
SE,2019-12-03,14029.0
SE,2019-12-04,20232.0
SE,2019-12-05,20384.0
SE,2019-12-06,14231.0
SE,2019-12-07,13701.0
SE,2019-12-08,8279.0
SE,2019-12-09,11134.0
SE,2019-12-10,8832.0
SE,2019-12-11,19565.0
SE,2019-12-12,13550.0
SE,2019-12-13,8050.0
SE,2019-12-14,5462.0
SE,2019-12-15,3145.0
SE,2019-12-16,423.0
SE,2019-12-17,3637.0
SE,2019-12-18,7630.0
SE,2019-12-19,12556.0
SE,2019-12-20,1804.0
SE,2019-12-21,981.0
SE,2019-12-22,1847.0
SE,2019-12-23,1042.0
SE,2019-12-24,254.0
SE,2019-12-25,2467.0
SE,2019-12-26,6591.0
SE,2019-12-27,4345.0
SE,2019-12-28,19811.0
SE,2019-12-29,20926.0
SE,2019-12-30,18849.0
