Country,Timestamp,Hydro Water Reservoir,Nuclear,Other,Wind Onshore
SE,2019-05-27,195565.0,178537.0,15128.0,27513.0
SE,2019-05-28,205137.0,178192.0,15578.0,26629.0
SE,2019-05-29,184193.0,178663.0,17004.0,74983.0
SE,2019-05-30,131334.0,175509.0,14980.0,100077.0
SE,2019-05-31,152179.0,177534.0,15075.0,87479.0
SE,2019-06-01,153067.0,177927.0,13646.0,66701.0
SE,2019-06-02,162807.0,183027.0,13557.0,38659.0
SE,2019-06-03,182914.0,163391.0,12961.0,60722.0
SE,2019-06-04,193078.0,174662.0,11054.0,31245.0
SE,2019-06-05,182795.0,195610.0,10752.0,31961.0
SE,2019-06-06,164418.0,189996.0,13026.0,46605.0
SE,2019-06-07,179498.0,197448.0,13200.0,36762.0
SE,2019-06-08,141476.0,184940.0,12972.0,37615.0
SE,2019-06-09,135401.0,185419.0,13365.0,81295.0
SE,2019-06-10,168315.0,196774.0,12053.0,54689.0
SE,2019-06-11,178845.0,201261.0,13296.0,55442.0
SE,2019-06-12,171099.0,200580.0,12126.0,74538.0
SE,2019-06-13,174990.0,199923.0,10554.0,39642.0
SE,2019-06-14,181236.0,199606.0,11715.0,13718.0
SE,2019-06-15,156808.0,199360.0,12568.0,24807.0
SE,2019-06-16,148417.0,198070.0,12304.0,25152.0
SE,2019-06-17,173255.0,197840.0,12756.0,43145.0
SE,2019-06-18,172623.0,197725.0,12331.0,49699.0
SE,2019-06-19,181851.0,196876.0,12376.0,23619.0
SE,2019-06-20,183449.0,192850.0,11635.0,40400.0
SE,2019-06-21,155436.0,194788.0,12678.0,47884.0
SE,2019-06-22,124727.0,196803.0,13547.0,77736.0
SE,2019-06-23,144843.0,196323.0,12639.0,39086.0
SE,2019-06-24,172942.0,195458.0,11911.0,24336.0
SE,2019-06-25,172302.0,194708.0,10431.0,20687.0
SE,2019-06-26,178911.0,194123.0,9870.0,27745.0
SE,2019-06-27,164609.0,187535.0,10092.0,76373.0
SE,2019-06-28,176898.0,193904.0,9091.0,46983.0
SE,2019-06-29,149411.0,192338.0,9350.0,71545.0
SE,2019-06-30,125137.0,187374.0,9243.0,64301.0
SE,2019-07-01,160772.0,168194.0,9792.0,93358.0
SE,2019-07-02,151869.0,169059.0,8789.0,79303.0
SE,2019-07-03,166538.0,169725.0,9483.0,55376.0
SE,2019-07-04,170842.0,161400.0,10289.0,59658.0
SE,2019-07-05,185281.0,161358.0,10820.0,67067.0
SE,2019-07-06,157661.0,166266.0,10309.0,33711.0
